City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
okhotsk,51,RU,1573441583,81,59.36,143.24,14.86,9.04
iqaluit,90,CA,1573441583,77,63.75,-68.52,6.39,4.7
college,75,US,1573441312,72,64.86,-147.8,17.76,1.81
vallenar,6,CL,1573441583,87,-28.58,-70.76,52.29,1.48
saskylakh,100,RU,1573441584,98,71.97,114.09,-5.44,4.27
gamba,0,CN,1573441584,37,28.28,88.52,29.5,2.89
ramanuj ganj,0,IN,1573441584,59,23.81,83.7,73.54,4.03
staryy nadym,35,RU,1573441584,89,65.61,72.68,-9.26,9.08
lensk,78,RU,1573441584,87,60.71,114.91,-6.2,8.3
oeiras do para,59,BR,1573441584,81,-2.0,-49.85,77.88,4.54
sicamous,1,CA,1573441585,80,50.84,-118.99,33.75,4.7
port said,0,EG,1573441585,55,25.34,30.55,64.24,8.39
seymchan,100,RU,1573441585,94,62.93,152.39,3.27,2.89
samana,76,EC,1573441585,88,0.12,-76.97,73.26,2.89
pisco,90,PE,1573441585,88,-13.71,-76.2,64.2,6.93
geraldton,75,CA,1573441583,77,49.72,-86.95,-0.41,3.36
gabriel leyva solano,90,MX,1573441586,65,25.66,-108.64,78.85,11.41
belmonte,100,PT,1573441586,97,40.36,-7.35,49.32,1.01
jawhar,0,IN,1573441586,72,19.91,73.23,77.4,2.26
saint-augustin,90,CA,1573441586,64,45.63,-73.98,33.62,12.75
mugan,0,CN,1573441586,26,35.94,101.38,37.78,1.3
nawa,76,IN,1573441587,39,27.02,75.0,72.0,5.28
komsomolskiy,100,RU,1573441587,95,67.55,63.78,6.73,10.96
sao filipe,34,CV,1573441352,82,14.9,-24.5,74.57,17.72
tomari,100,RU,1573441587,79,47.76,142.06,44.22,19.19
sao miguel do araguaia,100,BR,1573441587,89,-13.28,-50.16,73.85,5.1
waingapu,0,ID,1573441587,73,-9.65,120.26,82.02,1.23
broken hill,0,AU,1573441588,10,-31.97,141.45,84.2,16.11
limbang,75,BN,1573441588,70,4.75,115.01,86.59,3.36
xuddur,34,SO,1573441588,94,4.12,43.89,70.41,9.01
mbuguni,75,TZ,1573441588,94,-3.55,36.92,66.96,4.7
maniitsoq,99,GL,1573441588,58,65.42,-52.9,38.34,10.63
malkangiri,0,IN,1573441588,71,18.35,81.9,75.87,2.93
isangel,40,VU,1573441589,51,-19.55,169.27,84.2,17.22
nome,1,US,1573441589,93,30.04,-94.42,59.49,6.93
micheweni,26,TZ,1573441589,82,-4.97,39.83,80.46,15.32
waipawa,35,NZ,1573441589,67,-39.94,176.59,63.0,11.99
trapani,94,IT,1573441589,55,38.02,12.54,58.82,8.05
warrnambool,96,AU,1573441590,30,-38.38,142.48,75.9,7.0
lanja,0,IN,1573441590,71,16.84,73.55,76.57,1.86
zyryanovsk,100,KZ,1573441590,92,49.74,84.27,11.52,3.85
pajapan,75,MX,1573441590,88,18.26,-94.69,77.0,11.7
te anau,54,NZ,1573441590,81,-45.41,167.72,45.28,6.53
waycross,1,US,1573441410,81,31.21,-82.35,44.19,2.15
natal,20,BR,1573441441,78,-5.81,-35.21,78.8,10.29
kaitangata,100,NZ,1573441591,62,-46.28,169.85,50.0,11.01
hay river,20,CA,1573441591,77,60.82,-115.79,3.2,8.05
dawei,24,MM,1573441591,63,14.07,98.19,79.81,4.59
kathu,47,ZA,1573441591,43,-27.7,23.05,59.0,10.83
piacabucu,24,BR,1573441591,80,-10.41,-36.43,76.68,9.66
huarmey,22,PE,1573441592,85,-10.07,-78.15,62.02,2.01
beringovskiy,100,RU,1573441592,98,63.05,179.32,33.73,16.4
gibara,20,CU,1573441592,94,21.11,-76.13,73.4,8.05
port lincoln,49,AU,1573441592,11,-34.72,135.86,91.11,23.2
ahipara,100,NZ,1573441592,86,-35.17,173.16,56.28,21.5
marsa matruh,0,EG,1573441593,72,31.35,27.25,60.8,6.87
klintsy,100,RU,1573441593,91,52.76,32.24,44.92,12.68
turukhansk,100,RU,1573441593,98,65.8,87.96,-14.48,2.95
moramanga,0,MG,1573441593,85,-18.95,48.23,61.38,1.81
cutervo,100,PE,1573441593,81,-6.38,-78.82,58.57,3.94
mount gambier,86,AU,1573441593,34,-37.83,140.78,78.8,18.34
porto novo,40,BR,1573441594,83,-23.68,-45.44,71.6,8.05
harper,90,US,1573441594,87,30.3,-99.24,61.16,8.05
eyl,67,SO,1573441594,79,7.98,49.82,78.01,15.9
grindavik,90,IS,1573441594,87,63.84,-22.43,41.72,39.15
palmer,0,AU,1573441594,11,-34.85,139.16,87.33,26.4
bathsheba,40,BB,1573441594,74,13.22,-59.52,82.4,21.92
pevek,41,RU,1573441595,72,69.7,170.27,13.93,0.72
tobermory,100,CA,1573441595,74,45.25,-81.67,24.01,1.99
kahului,20,US,1573441581,66,20.89,-156.47,78.82,18.34
amargosa,73,BR,1573441595,98,-13.03,-39.6,69.21,3.78
coihaique,40,CL,1573441595,76,-45.58,-72.07,53.6,5.82
mao,75,DO,1573441337,94,19.55,-71.08,77.81,1.7
karratha,0,AU,1573441418,51,-20.74,116.85,83.25,12.73
vila,75,IT,1573441596,93,45.18,8.4,41.7,6.93
canoinhas,83,BR,1573441596,99,-26.18,-50.4,62.15,2.39
port hawkesbury,90,CA,1573441596,80,45.62,-61.36,41.77,6.93
bytow,75,PL,1573441596,93,54.17,17.49,39.2,5.82
jijiga,0,ET,1573441596,53,9.35,42.8,55.96,3.69
gladstone,0,AU,1573441597,25,-23.84,151.26,88.18,13.87
umm kaddadah,0,SD,1573441597,20,13.6,26.69,70.72,10.2
santa marta de tormes,90,ES,1573441597,93,40.95,-5.63,41.34,3.36
zugdidi,0,GE,1573441597,32,42.51,41.88,60.8,13.87
umea,96,SE,1573441597,85,63.83,20.26,19.4,12.75
paita,100,PE,1573441598,80,-5.09,-81.11,66.7,5.46
kununurra,24,AU,1573441598,27,-15.77,128.74,98.6,8.05
middelburg,90,NL,1573441598,93,51.5,3.61,41.43,4.7
akcakoca,21,TR,1573441598,41,41.09,31.12,58.55,3.62
matay,0,EG,1573441598,75,28.42,30.79,63.77,12.86
sidi ali,94,DZ,1573441598,67,36.1,0.42,52.27,15.17
kargil,99,PK,1573441599,44,34.56,76.13,19.81,3.31
pombas,100,BR,1573441599,89,-15.9,-54.74,71.37,0.83
mitsamiouli,100,KM,1573441599,77,-11.38,43.28,79.27,7.36
salitrillo,0,MX,1573441599,82,18.9,-100.56,69.71,3.04
kaputa,89,ZM,1573441599,77,-8.47,29.66,69.46,2.75
yar-sale,0,RU,1573441599,93,66.83,70.83,-9.41,9.24
dauphin,75,CA,1573441600,70,51.15,-100.04,-0.41,10.29
shubarshi,0,KZ,1573441600,91,48.59,57.19,29.03,7.87
xiaoweizhai,0,CN,1573441600,65,26.23,107.51,65.07,7.16
kralendijk,90,BQ,1573441600,78,12.15,-68.27,82.4,16.11
longyearbyen,75,NO,1573441600,72,78.22,15.63,17.6,10.29
port hardy,90,CA,1573441597,93,50.7,-127.42,48.2,5.82
paramonga,35,PE,1573441601,92,-10.68,-77.82,61.95,8.23
moose factory,90,CA,1573441601,84,51.26,-80.61,6.8,6.93
rafaela,0,AR,1573441601,54,-31.25,-61.49,69.46,4.0
cape canaveral,20,US,1573441601,78,28.41,-80.6,66.65,9.17
verkhoyansk,100,RU,1573441601,95,67.55,133.39,-13.58,0.58
fort nelson,5,CA,1573441602,83,58.81,-122.69,-4.01,1.74
sayyan,0,YE,1573441602,49,15.17,44.32,50.36,4.81
ventspils,90,LV,1573441602,93,57.39,21.56,42.8,2.24
pozo colorado,99,PY,1573441602,65,-23.49,-58.8,76.1,4.9
kemin,100,KG,1573441602,97,42.79,75.7,22.57,3.0
alihe,0,CN,1573441602,52,50.57,123.73,24.3,14.45
rocha,0,UY,1573441603,96,-34.48,-54.34,52.29,4.99
kyzyl-suu,100,KG,1573441603,83,42.34,78.0,33.24,7.9
kindu,100,CD,1573441603,99,-2.95,25.92,70.86,1.43
muros,90,ES,1573441309,100,42.77,-9.06,51.58,3.36
ribeira brava,20,PT,1573441603,68,32.65,-17.07,63.99,9.17
mehamn,1,NO,1573441603,86,71.03,27.85,22.77,14.09
kandrian,99,PG,1573441604,92,-6.21,149.55,78.53,7.29
portland,1,US,1573441266,55,43.66,-70.25,38.08,3.36
los llanos de aridane,75,ES,1573441334,72,28.66,-17.92,65.41,13.87
tayzhina,100,RU,1573441604,87,53.67,87.44,12.18,6.06
gayeri,18,BF,1573441604,31,12.65,0.49,79.97,4.56
newtonhill,100,GB,1573441605,80,57.46,-4.37,38.64,3.36
vanimo,100,PG,1573441605,88,-2.67,141.3,78.15,10.85
strezhevoy,0,RU,1573441605,82,60.73,77.6,-16.61,2.24
havoysund,40,NO,1573441605,79,71.0,24.66,28.4,13.87
buraydah,40,SA,1573441605,77,26.33,43.97,66.2,5.82
kincardine,100,CA,1573441605,92,44.18,-81.63,30.81,1.99
ahuimanu,75,US,1573441606,65,21.44,-157.84,81.79,4.7
camopi,69,GF,1573441606,89,3.17,-52.33,72.81,2.55
lodja,100,CD,1573441360,99,-3.52,23.6,70.16,1.5
timra,94,SE,1573441606,79,62.49,17.33,22.28,5.82
arlit,12,NE,1573441606,13,18.74,7.39,80.94,5.79
peterhead,5,AU,1573441606,11,-34.83,138.5,87.33,26.4
lavrentiya,100,RU,1573441607,89,65.58,-170.99,34.88,13.49
kirovskiy,100,RU,1573441607,90,45.09,133.51,40.78,5.7
wattegama,78,LK,1573441607,80,7.35,80.68,78.89,0.89
suihua,0,CN,1573441531,47,46.64,126.99,41.41,12.8
mana,100,NG,1573441607,30,13.03,5.27,77.29,1.59
sri aman,75,MY,1573441607,74,1.24,111.46,86.0,2.24
buta,99,CD,1573441608,97,2.79,24.73,68.86,1.3
luderitz,0,NA,1573441394,87,-26.65,15.16,59.0,2.24
markala,92,ML,1573441608,23,13.69,-6.07,86.16,9.98
wanning,75,AT,1573441608,100,48.64,13.53,31.77,4.7
praia da vitoria,20,PT,1573441608,82,38.73,-27.07,62.6,3.42
hearst,94,CA,1573441584,94,49.69,-83.67,6.21,5.95
masunga,100,BW,1573441609,67,-20.62,27.45,68.4,5.32
salina,1,US,1573441525,52,38.84,-97.61,42.04,23.04
yeppoon,19,AU,1573441609,9,-23.13,150.74,93.2,5.82
komsomolskoye,93,UA,1573441609,39,45.02,34.02,56.44,4.34
taywarah,61,AF,1573441609,54,33.35,64.42,31.39,5.86
mandurah,39,AU,1573441610,49,-32.55,115.7,74.44,9.17
arrifes,20,PT,1573441610,82,37.77,-25.7,61.45,8.05
auki,100,NG,1573441610,36,12.18,6.51,76.32,3.96
faya,0,SA,1573441610,66,18.39,42.45,52.74,4.72
brownwood,1,US,1573441611,72,31.71,-98.99,63.12,8.05
liling,0,CN,1573441611,67,27.65,113.49,62.6,4.47
brody,76,UA,1573441611,96,50.08,25.14,46.18,6.02
talaya,100,RU,1573441611,84,55.79,84.89,-0.41,2.24
port blair,0,IN,1573441397,66,11.67,92.75,81.79,1.57
iroquois falls,20,CA,1573441611,84,48.76,-80.69,5.0,8.05
ducheng,0,CN,1573441612,23,30.54,114.9,72.18,6.93
mareeba,32,AU,1573441612,54,-16.99,145.42,85.17,10.36
kangaatsiaq,70,GL,1573441612,59,68.31,-53.46,39.27,21.72
ridgecrest,1,US,1573441415,13,35.62,-117.67,56.41,8.05
ribeira grande,69,PT,1573441612,82,38.52,-28.7,62.29,1.77
lata,100,IN,1573441613,19,30.78,78.62,33.55,1.12
mangrol,0,IN,1573441613,46,25.33,76.51,73.33,2.21
tsiroanomandidy,8,MG,1573441613,65,-18.77,46.05,75.13,3.04
harsud,0,IN,1573441613,62,21.96,76.7,72.57,5.1
mangan,0,IN,1573441613,41,27.5,88.54,59.09,3.67
caucaia,96,BR,1573441613,74,-3.73,-38.66,82.15,12.75
quimperle,75,FR,1573441614,87,47.87,-3.55,47.84,12.75
omsukchan,100,RU,1573441614,93,62.53,155.8,3.38,4.32
rochegda,100,RU,1573441614,99,62.67,43.41,36.93,5.01
liyang,0,CN,1573441614,49,31.42,119.48,68.0,4.47
rio gallegos,20,AR,1573441614,71,-51.62,-69.22,50.0,4.7
birjand,0,IR,1573441614,30,32.86,59.22,41.0,4.7
cam ranh,40,VN,1573441615,78,11.92,109.15,82.4,1.12
solikamsk,100,RU,1573441615,93,59.65,56.78,27.99,10.36
berlevag,0,NO,1573441615,74,70.86,29.09,33.4,16.11
thio,20,NC,1573441615,39,-21.61,166.22,82.4,14.99
cap malheureux,75,MU,1573441615,94,-19.98,57.61,70.38,3.36
manoel urbano,67,BR,1573441615,95,-8.84,-69.26,72.63,1.01
alugan,100,PH,1573441616,66,12.22,125.48,86.36,8.03
saint-georges,100,CA,1573441523,83,46.12,-70.67,32.68,3.0
shelburne,90,CA,1573441616,86,44.08,-80.2,30.88,9.62
brae,100,GB,1573441616,74,60.4,-1.35,36.61,10.29
cairns,33,AU,1573441616,54,-16.92,145.77,85.19,10.25
trairi,93,BR,1573441338,86,-3.28,-39.27,74.53,6.38
boden,90,SE,1573441617,92,65.83,21.69,14.0,9.17
constitucion,5,MX,1573441617,39,23.99,-104.67,64.99,3.36
san policarpo,100,PH,1573441617,66,12.18,125.51,86.36,8.03
ishim,92,RU,1573441617,59,56.11,69.47,22.37,5.88
amapa,90,HN,1573441617,94,15.09,-87.97,73.85,6.93
lloydminster,20,CA,1573441618,84,53.28,-110.01,-2.21,11.41
